gid	key	parent_key	parent_table	playback-scenario	text
gid_2016_05_07_nynmlb_sdnmlb_1	42	7	media	FLASH_1200K_640X360	http://mediadownloads.mlb.com/mlbam/mp4/2016/05/08/670119983/1462682933696/asset_1200K.mp4
gid_2016_05_07_nynmlb_sdnmlb_1	43	7	media	HTTP_CLOUD_MOBILE	http://mediadownloads.mlb.com/mlbam/hls/2016/05/08/670119983/1462682933943/master_mobile.m3u8
gid_2016_05_07_nynmlb_sdnmlb_1	44	7	media	3GP_H264_550K_320X240	http://mediadownloads.mlb.com/mlbam/hls/2016/05/08/670119983/1462682933943/master_mobile.m3u8
gid_2016_05_07_nynmlb_sdnmlb_1	45	7	media	HTTP_CLOUD_TABLET	http://mediadownloads.mlb.com/mlbam/hls/2016/05/08/670119983/1462682933943/master_tablet.m3u8
gid_2016_05_07_nynmlb_sdnmlb_1	46	7	media	HTTP_CLOUD_TABLET_60	http://mediadownloads.mlb.com/mlbam/hls/2016/05/08/670119983/1462682933943/master_tablet_60.m3u8
gid_2016_05_07_nynmlb_sdnmlb_1	47	7	media	HTTP_CLOUD_WIRED	http://mediadownloads.mlb.com/mlbam/hls/2016/05/08/670119983/1462682933943/master_wired.m3u8
gid_2016_05_07_nynmlb_sdnmlb_1	48	8	media	FLASH_1200K_640X360	http://mediadownloads.mlb.com/mlbam/mp4/2016/05/08/670133483/1462678493360/asset_1200K.mp4
gid_2016_05_07_nynmlb_sdnmlb_1	49	8	media	HTTP_CLOUD_MOBILE	http://mediadownloads.mlb.com/mlbam/hls/2016/05/08/670133483/1462678493598/master_mobile.m3u8
gid_2016_05_07_nynmlb_sdnmlb_1	50	8	media	3GP_H264_550K_320X240	http://mediadownloads.mlb.com/mlbam/hls/2016/05/08/670133483/1462678493598/master_mobile.m3u8
gid_2016_05_07_nynmlb_sdnmlb_1	51	8	media	HTTP_CLOUD_TABLET	http://mediadownloads.mlb.com/mlbam/hls/2016/05/08/670133483/1462678493598/master_tablet.m3u8
gid_2016_05_07_nynmlb_sdnmlb_1	52	8	media	HTTP_CLOUD_TABLET_60	http://mediadownloads.mlb.com/mlbam/hls/2016/05/08/670133483/1462678493598/master_tablet_60.m3u8
gid_2016_05_07_nynmlb_sdnmlb_1	53	8	media	HTTP_CLOUD_WIRED	http://mediadownloads.mlb.com/mlbam/hls/2016/05/08/670133483/1462678493598/master_wired.m3u8
gid_2016_05_07_nynmlb_sdnmlb_1	54	9	media	FLASH_1200K_640X360	http://mediadownloads.mlb.com/mlbam/mp4/2016/05/08/670478483/1462680285432/asset_1200K.mp4
gid_2016_05_07_nynmlb_sdnmlb_1	55	9	media	HTTP_CLOUD_MOBILE	http://mediadownloads.mlb.com/mlbam/hls/2016/05/08/670478483/1462680285691/master_mobile.m3u8
gid_2016_05_07_nynmlb_sdnmlb_1	56	9	media	3GP_H264_550K_320X240	http://mediadownloads.mlb.com/mlbam/hls/2016/05/08/670478483/1462680285691/master_mobile.m3u8
gid_2016_05_07_nynmlb_sdnmlb_1	57	9	media	HTTP_CLOUD_TABLET	http://mediadownloads.mlb.com/mlbam/hls/2016/05/08/670478483/1462680285691/master_tablet.m3u8
gid_2016_05_07_nynmlb_sdnmlb_1	58	9	media	HTTP_CLOUD_TABLET_60	http://mediadownloads.mlb.com/mlbam/hls/2016/05/08/670478483/1462680285691/master_tablet_60.m3u8
gid_2016_05_07_nynmlb_sdnmlb_1	59	9	media	HTTP_CLOUD_WIRED	http://mediadownloads.mlb.com/mlbam/hls/2016/05/08/670478483/1462680285691/master_wired.m3u8
gid_2016_05_07_nynmlb_sdnmlb_1	60	10	media	FLASH_1200K_640X360	http://mediadownloads.mlb.com/mlbam/mp4/2016/05/08/670366983/1462680212280/asset_1200K.mp4
gid_2016_05_07_nynmlb_sdnmlb_1	61	10	media	HTTP_CLOUD_MOBILE	http://mediadownloads.mlb.com/mlbam/hls/2016/05/08/670366983/1462680212706/master_mobile.m3u8
gid_2016_05_07_nynmlb_sdnmlb_1	62	10	media	3GP_H264_550K_320X240	http://mediadownloads.mlb.com/mlbam/hls/2016/05/08/670366983/1462680212706/master_mobile.m3u8
gid_2016_05_07_nynmlb_sdnmlb_1	63	10	media	HTTP_CLOUD_TABLET	http://mediadownloads.mlb.com/mlbam/hls/2016/05/08/670366983/1462680212706/master_tablet.m3u8
gid_2016_05_07_nynmlb_sdnmlb_1	64	10	media	HTTP_CLOUD_TABLET_60	http://mediadownloads.mlb.com/mlbam/hls/2016/05/08/670366983/1462680212706/master_tablet_60.m3u8
gid_2016_05_07_nynmlb_sdnmlb_1	65	10	media	HTTP_CLOUD_WIRED	http://mediadownloads.mlb.com/mlbam/hls/2016/05/08/670366983/1462680212706/master_wired.m3u8
gid_2016_05_07_nynmlb_sdnmlb_1	66	11	media	FLASH_1200K_640X360	http://mediadownloads.mlb.com/mlbam/mp4/2016/05/08/670481283/1462680214229/asset_1200K.mp4
gid_2016_05_07_nynmlb_sdnmlb_1	67	11	media	HTTP_CLOUD_MOBILE	http://mediadownloads.mlb.com/mlbam/hls/2016/05/08/670481283/1462680214467/master_mobile.m3u8
gid_2016_05_07_nynmlb_sdnmlb_1	68	11	media	3GP_H264_550K_320X240	http://mediadownloads.mlb.com/mlbam/hls/2016/05/08/670481283/1462680214467/master_mobile.m3u8
gid_2016_05_07_nynmlb_sdnmlb_1	69	11	media	HTTP_CLOUD_TABLET	http://mediadownloads.mlb.com/mlbam/hls/2016/05/08/670481283/1462680214467/master_tablet.m3u8
gid_2016_05_07_nynmlb_sdnmlb_1	70	11	media	HTTP_CLOUD_TABLET_60	http://mediadownloads.mlb.com/mlbam/hls/2016/05/08/670481283/1462680214467/master_tablet_60.m3u8
gid_2016_05_07_nynmlb_sdnmlb_1	71	11	media	HTTP_CLOUD_WIRED	http://mediadownloads.mlb.com/mlbam/hls/2016/05/08/670481283/1462680214467/master_wired.m3u8
gid_2016_05_07_nynmlb_sdnmlb_1	72	12	media	FLASH_1200K_640X360	http://mediadownloads.mlb.com/mlbam/mp4/2016/05/08/670493083/1462683277438/asset_1200K.mp4
gid_2016_05_07_nynmlb_sdnmlb_1	73	12	media	HTTP_CLOUD_MOBILE	http://mediadownloads.mlb.com/mlbam/hls/2016/05/08/670493083/1462683277792/master_mobile.m3u8
gid_2016_05_07_nynmlb_sdnmlb_1	74	12	media	3GP_H264_550K_320X240	http://mediadownloads.mlb.com/mlbam/hls/2016/05/08/670493083/1462683277792/master_mobile.m3u8
gid_2016_05_07_nynmlb_sdnmlb_1	75	12	media	HTTP_CLOUD_TABLET	http://mediadownloads.mlb.com/mlbam/hls/2016/05/08/670493083/1462683277792/master_tablet.m3u8
