gid	key	parent_key	parent_table	text	type	value
gid_2016_05_07_nynmlb_sdnmlb_1	45	11	keywords		subject	MLBCOM_REALTIME_HIGHLIGHT
gid_2016_05_07_nynmlb_sdnmlb_1	46	12	keywords		sv_id	160507_203441
gid_2016_05_07_nynmlb_sdnmlb_1	47	12	keywords		team_id	121
gid_2016_05_07_nynmlb_sdnmlb_1	48	12	keywords		mmtax	shareable
gid_2016_05_07_nynmlb_sdnmlb_1	49	12	keywords		subject	MLBCOM_REALTIME_HIGHLIGHT
gid_2016_05_07_nynmlb_sdnmlb_1	50	13	keywords		team_id	121
gid_2016_05_07_nynmlb_sdnmlb_1	51	13	keywords		mmtax	shareable
gid_2016_05_07_nynmlb_sdnmlb_1	52	13	keywords		sv_id	160507_195246
gid_2016_05_07_nynmlb_sdnmlb_1	53	13	keywords		subject	MLBCOM_REALTIME_HIGHLIGHT
gid_2016_05_07_nynmlb_sdnmlb_1	54	14	keywords		sv_id	160507_192210
gid_2016_05_07_nynmlb_sdnmlb_1	55	14	keywords		team_id	121
gid_2016_05_07_nynmlb_sdnmlb_1	56	14	keywords		mmtax	shareable
gid_2016_05_07_nynmlb_sdnmlb_1	57	14	keywords		subject	MLBCOM_REALTIME_HIGHLIGHT
gid_2016_05_07_nynmlb_sdnmlb_1	58	15	keywords		team_id	121
gid_2016_05_07_nynmlb_sdnmlb_1	59	15	keywords		sv_id	160507_174232
gid_2016_05_07_nynmlb_sdnmlb_1	60	15	keywords		mmtax	shareable
gid_2016_05_07_nynmlb_sdnmlb_1	61	15	keywords		subject	MLBCOM_REALTIME_HIGHLIGHT
gid_2016_05_07_nynmlb_sdnmlb_1	62	16	keywords		team_id	121
gid_2016_05_07_nynmlb_sdnmlb_1	63	16	keywords		mmtax	shareable
gid_2016_05_07_nynmlb_sdnmlb_1	64	16	keywords		sv_id	160507_193512
gid_2016_05_07_nynmlb_sdnmlb_1	65	16	keywords		subject	MLBCOM_REALTIME_HIGHLIGHT
gid_2016_05_07_nynmlb_sdnmlb_1	66	17	keywords		mmtax	shareable
gid_2016_05_07_nynmlb_sdnmlb_1	67	17	keywords		team_id	135
gid_2016_05_07_nynmlb_sdnmlb_1	68	18	keywords		team_id	121
gid_2016_05_07_nynmlb_sdnmlb_1	69	18	keywords		mmtax	shareable
gid_2016_05_07_nynmlb_sdnmlb_1	70	19	keywords		team_id	121
gid_2016_05_07_nynmlb_sdnmlb_1	71	19	keywords		mmtax	shareable
gid_2016_05_07_nynmlb_sdnmlb_1	72	20	keywords		team_id	121
gid_2016_05_07_nynmlb_sdnmlb_1	73	20	keywords		team_id	135
gid_2016_05_07_nynmlb_sdnmlb_1	74	20	keywords		mmtax	shareable
gid_2016_05_07_nynmlb_sdnmlb_1	75	21	keywords		team_id	121
gid_2016_05_07_nynmlb_sdnmlb_1	76	21	keywords		team_id	135
gid_2016_05_07_nynmlb_sdnmlb_1	77	22	keywords		team_id	121
gid_2016_05_07_nynmlb_sdnmlb_1	78	22	keywords		mmtax	shareable
gid_2016_05_07_nynmlb_sdnmlb_1	79	23	keywords		team_id	135
gid_2016_05_07_nynmlb_sdnmlb_1	80	23	keywords		mmtax	shareable
gid_2016_05_07_nynmlb_sdnmlb_1	81	24	keywords		team_id	121
gid_2016_05_07_nynmlb_sdnmlb_1	82	24	keywords		mmtax	shareable
gid_2016_05_07_nynmlb_sdnmlb_1	83	25	keywords		team_id	121
gid_2016_05_07_nynmlb_sdnmlb_1	84	25	keywords		mmtax	shareable
gid_2016_05_07_nynmlb_sdnmlb_1	85	26	keywords		team_id	121
gid_2016_05_07_nynmlb_sdnmlb_1	86	26	keywords		mmtax	shareable
gid_2016_05_07_nynmlb_sdnmlb_1	87	27	keywords		team_id	121
gid_2016_05_07_nynmlb_sdnmlb_1	88	27	keywords		mmtax	shareable
